Season,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2009-2010,Semi-finals,Tue,2010-04-27,,Lyon,0–3,Bayern Munich,,Stade de Gerland,Massimo Busacca,Match Report,Leg 2 of 2; Bayern Munich won
2009-2010,Semi-finals,Wed,2010-04-28,,Barcelona,1–0,Inter,,Camp Nou,Frank de Bleeckere,Match Report,Leg 2 of 2; Inter won
2009-2010,Final,Sat,2010-05-22,,Bayern Munich,0–2,Inter,,Estadio Santiago Bernabéu (Neutral Site),Howard Webb,Match Report,
2010-2011,Round of 16,Tue,2011-02-15,,Valencia,1–1,Schalke 04,,Estadi de Mestalla,Aleksei Nikolaev,Match Report,Leg 1 of 2
2010-2011,Round of 16,Tue,2011-02-15,,Milan,0–1,Tottenham,,Stadio Giuseppe Meazza,Stéphane Lannoy,Match Report,Leg 1 of 2
2010-2011,Round of 16,Wed,2011-02-16,,Arsenal,2–1,Barcelona,,Arsenal Stadium,Nicola Rizzoli,Match Report,Leg 1 of 2
2010-2011,Round of 16,Wed,2011-02-16,,Roma,2–3,uaShakhtar,,Stadio Olimpico,Olegário Benquerença,Match Report,Leg 1 of 2
2010-2011,Round of 16,Tue,2011-02-22,,Lyon,1–1,Real Madrid,,Stade de Gerland,Wolfgang Stark,Match Report,Leg 1 of 2
2010-2011,Round of 16,Tue,2011-02-22,,FC Copenhagendk,0–2,Chelsea,,Telia Parken,Björn Kuipers,Match Report,Leg 1 of 2
2010-2011,Round of 16,Wed,2011-02-23,,Inter,0–1,Bayern Munich,,Stadio Giuseppe Meazza,Viktor Kassai,Match Report,Leg 1 of 2
2010-2011,Round of 16,Wed,2011-02-23,,Marseille,0–0,Manchester Utd,,Stade Vélodrome,Felix Brych,Match Report,Leg 1 of 2
2010-2011,Round of 16,Tue,2011-03-08,,Barcelona,3–1,Arsenal,,Camp Nou,Massimo Busacca,Match Report,Leg 2 of 2; Barcelona won
2010-2011,Round of 16,Tue,2011-03-08,,Shakhtarua,3–0,Roma,,Donbass Arena,Howard Webb,Match Report,Leg 2 of 2; Shakhtar won
2010-2011,Round of 16,Wed,2011-03-09,,Tottenham,0–0,Milan,,White Hart Lane,Frank de Bleeckere,Match Report,Leg 2 of 2; Tottenham won
2010-2011,Round of 16,Wed,2011-03-09,,Schalke 04,3–1,Valencia,,Arena AufSchalke,Jonas Eriksson,Match Report,Leg 2 of 2; Schalke 04 won
2010-2011,Round of 16,Tue,2011-03-15,,Manchester Utd,2–1,Marseille,,Old Trafford,Velasco Carballo,Match Report,Leg 2 of 2; Manchester Utd won
2010-2011,Round of 16,Tue,2011-03-15,,Bayern Munich,2–3,Inter,,Fußball Arena München,Pedro Proença,Match Report,Leg 2 of 2; Inter won
2010-2011,Round of 16,Wed,2011-03-16,,Real Madrid,3–0,Lyon,,Estadio Santiago Bernabéu,Damir Skomina,Match Report,Leg 2 of 2; Real Madrid won
2010-2011,Round of 16,Wed,2011-03-16,,Chelsea,0–0,dkFC Copenhagen,,Stamford Bridge,Svein Oddvar Moen,Match Report,Leg 2 of 2; Chelsea won
2010-2011,Quarter-finals,Tue,2011-04-05,,Real Madrid,4–0,Tottenham,,Estadio Santiago Bernabéu,Felix Brych,Match Report,Leg 1 of 2
2010-2011,Quarter-finals,Tue,2011-04-05,,Inter,2–5,Schalke 04,,Stadio Giuseppe Meazza,Martin Atkinson,Match Report,Leg 1 of 2
2010-2011,Quarter-finals,Wed,2011-04-06,,Barcelona,5–1,uaShakhtar,,Camp Nou,Craig Thomson,Match Report,Leg 1 of 2
2010-2011,Quarter-finals,Wed,2011-04-06,,Chelsea,0–1,Manchester Utd,,Stamford Bridge,Undiano Mallenco,Match Report,Leg 1 of 2
2010-2011,Quarter-finals,Tue,2011-04-12,,Shakhtarua,0–1,Barcelona,,Donbass Arena,Florian Meyer,Match Report,Leg 2 of 2; Barcelona won
2010-2011,Quarter-finals,Tue,2011-04-12,,Manchester Utd,2–1,Chelsea,,Old Trafford,Olegário Benquerença,Match Report,Leg 2 of 2; Manchester Utd won
2010-2011,Quarter-finals,Wed,2011-04-13,,Tottenham,0–1,Real Madrid,,White Hart Lane,Nicola Rizzoli,Match Report,Leg 2 of 2; Real Madrid won
2010-2011,Quarter-finals,Wed,2011-04-13,,Schalke 04,2–1,Inter,,Arena AufSchalke,Damir Skomina,Match Report,Leg 2 of 2; Schalke 04 won
2010-2011,Semi-finals,Tue,2011-04-26,,Schalke 04,0–2,Manchester Utd,,Arena AufSchalke,Velasco Carballo,Match Report,Leg 1 of 2
2010-2011,Semi-finals,Wed,2011-04-27,,Real Madrid,0–2,Barcelona,,Estadio Santiago Bernabéu,Wolfgang Stark,Match Report,Leg 1 of 2
2010-2011,Semi-finals,Tue,2011-05-03,,Barcelona,1–1,Real Madrid,,Camp Nou,Frank de Bleeckere,Match Report,Leg 2 of 2; Barcelona won
2010-2011,Semi-finals,Wed,2011-05-04,,Manchester Utd,4–1,Schalke 04,,Old Trafford,Pedro Proença,Match Report,Leg 2 of 2; Manchester Utd won
2010-2011,Final,Sat,2011-05-28,,Barcelona,3–1,Manchester Utd,,Wembley Stadium (Neutral Site),Viktor Kassai,Match Report,
2011-2012,Round of 16,Tue,2012-02-14,,Leverkusen,1–3,Barcelona,,BayArena,Craig Thomson,Match Report,Leg 1 of 2
2011-2012,Round of 16,Tue,2012-02-14,,Lyon,1–0,cyAPOEL FC,,Stade de Gerland,Paolo Tagliavento,Match Report,Leg 1 of 2
2011-2012,Round of 16,Wed,2012-02-15,,Zenit,3–2,Benfica,,Stadion Petrovski,Jonas Eriksson,Match Report,Leg 1 of 2
2011-2012,Round of 16,Wed,2012-02-15,,Milan,4–0,Arsenal,,Stadio Giuseppe Meazza,Viktor Kassai,Match Report,Leg 1 of 2
2011-2012,Round of 16,Tue,2012-02-21,,Napoli,3–1,Chelsea,,Stadio San Paolo,Velasco Carballo,Match Report,Leg 1 of 2
2011-2012,Round of 16,Tue,2012-02-21,,CSKA Moscow,1–1,Real Madrid,,Stadion Luzhniki,Björn Kuipers,Match Report,Leg 1 of 2
2011-2012,Round of 16,Wed,2012-02-22,,Marseille,1–0,Inter,,Stade Vélodrome,Cüneyt Çakır,Match Report,Leg 1 of 2
2011-2012,Round of 16,Wed,2012-02-22,,Baselch,1–0,Bayern Munich,,St. Jakob,Nicola Rizzoli,Match Report,Leg 1 of 2
2011-2012,Round of 16,Tue,2012-03-06,,Benfica,2–0,Zen,,Estádio do Sport Lisboa e Benfica,Howard Webb,Match Report,Leg 2 of 2; Benfica won
2011-2012,Round of 16,Tue,2012-03-06,,Arsenal,3–0,Milan,,Arsenal Stadium,Damir Skomina,Match Report,Leg 2 of 2; Milan won
2011-2012,Round of 16,Wed,2012-03-07,,APOEL FCcy,(4)1–0(3),Lyon,,GSP Stadium,Undiano Mallenco,Match Report,Leg 2 of 2; APOEL FC won; APOEL FC won on penalty kicks following extra time
2011-2012,Round of 16,Wed,2012-03-07,,Barcelona,7–1,Leverkusen,,Camp Nou,Svein Oddvar Moen,Match Report,Leg 2 of 2; Barcelona won
2011-2012,Round of 16,Tue,2012-03-13,,Bayern Munich,7–0,chBasel,,Fußball Arena München,Mark Clattenburg,Match Report,Leg 2 of 2; Bayern Munich won
2011-2012,Round of 16,Tue,2012-03-13,,Inter,2–1,Marseille,,Stadio Giuseppe Meazza,Pedro Proença,Match Report,Leg 2 of 2; Marseille won
2011-2012,Round of 16,Wed,2012-03-14,,Real Madrid,4–1,CSKA Moscow,,Estadio Santiago Bernabéu,Stéphane Lannoy,Match Report,Leg 2 of 2; Real Madrid won
2011-2012,Round of 16,Wed,2012-03-14,,Chelsea,4–1,Napoli,,Stamford Bridge,Felix Brych,Match Report,Leg 2 of 2; Chelsea won; Required Extra Time
2011-2012,Quarter-finals,Tue,2012-03-27,,Benfica,0–1,Chelsea,,Estádio do Sport Lisboa e Benfica,Paolo Tagliavento,Match Report,Leg 1 of 2
2011-2012,Quarter-finals,Tue,2012-03-27,,APOEL FCcy,0–3,Real Madrid,,GSP Stadium,Felix Brych,Match Report,Leg 1 of 2
2011-2012,Quarter-finals,Wed,2012-03-28,,Milan,0–0,Barcelona,,Stadio Giuseppe Meazza,Jonas Eriksson,Match Report,Leg 1 of 2
2011-2012,Quarter-finals,Wed,2012-03-28,,Marseille,0–2,Bayern Munich,,Stade Vélodrome,Velasco Carballo,Match Report,Leg 1 of 2
2011-2012,Quarter-finals,Tue,2012-04-03,,Bayern Munich,2–0,Marseille,,Fußball Arena München,Svein Oddvar Moen,Match Report,Leg 2 of 2; Bayern Munich won
2011-2012,Quarter-finals,Tue,2012-04-03,,Barcelona,3–1,Milan,,Camp Nou,Björn Kuipers,Match Report,Leg 2 of 2; Barcelona won
2011-2012,Quarter-finals,Wed,2012-04-04,,Chelsea,2–1,Benfica,,Stamford Bridge,Damir Skomina,Match Report,Leg 2 of 2; Chelsea won
2011-2012,Quarter-finals,Wed,2012-04-04,,Real Madrid,5–2,cyAPOEL FC,,Estadio Santiago Bernabéu,Gianluca Rocchi,Match Report,Leg 2 of 2; Real Madrid won
2011-2012,Semi-finals,Tue,2012-04-17,,Bayern Munich,2–1,Real Madrid,,Fußball Arena München,Howard Webb,Match Report,Leg 1 of 2
2011-2012,Semi-finals,Wed,2012-04-18,,Chelsea,1–0,Barcelona,,Stamford Bridge,Felix Brych,Match Report,Leg 1 of 2
2011-2012,Semi-finals,Tue,2012-04-24,,Barcelona,2–2,Chelsea,,Camp Nou,Cüneyt Çakır,Match Report,Leg 2 of 2; Chelsea won
2011-2012,Semi-finals,Wed,2012-04-25,,Real Madrid,(1)2–1(3),Bayern Munich,,Estadio Santiago Bernabéu,Viktor Kassai,Match Report,Leg 2 of 2; Bayern Munich won; Bayern Munich won on penalty kicks following extra time
2011-2012,Final,Sat,2012-05-19,,Bayern Munich,(3)1–1(4),Chelsea,,Fußball Arena München (Neutral Site),Pedro Proença,Match Report,Chelsea won on penalty kicks following extra time
2012-2013,Round of 16,Tue,2013-02-12,,Valencia,1–2,Paris S-G,,Estadi de Mestalla,Paolo Tagliavento,Match Report,Leg 1 of 2
2012-2013,Round of 16,Tue,2013-02-12,,Celticsct,0–3,Juventus,,Celtic Park,Undiano Mallenco,Match Report,Leg 1 of 2
2012-2013,Round of 16,Wed,2013-02-13,,Shakhtarua,2–2,Dortmund,,Donbass Arena,Howard Webb,Match Report,Leg 1 of 2
2012-2013,Round of 16,Wed,2013-02-13,,Real Madrid,1–1,Manchester Utd,,Estadio Santiago Bernabéu,Felix Brych,Match Report,Leg 1 of 2
2012-2013,Round of 16,Tue,2013-02-19,,Porto,1–0,Málaga,,Estádio do Dragão,Mark Clattenburg,Match Report,Leg 1 of 2
2012-2013,Round of 16,Tue,2013-02-19,,Arsenal,1–3,Bayern Munich,,Arsenal Stadium,Svein Oddvar Moen,Match Report,Leg 1 of 2
2012-2013,Round of 16,Wed,2013-02-20,,Galatasaraytr,1–1,Schalke 04,,Ali Sami Yen Spor Kompleksi,William Collum,Match Report,Leg 1 of 2
2012-2013,Round of 16,Wed,2013-02-20,,Milan,2–0,Barcelona,,Stadio Giuseppe Meazza,Craig Thomson,Match Report,Leg 1 of 2
2012-2013,Round of 16,Tue,2013-03-05,,Manchester Utd,1–2,Real Madrid,,Old Trafford,Cüneyt Çakır,Match Report,Leg 2 of 2; Real Madrid won
2012-2013,Round of 16,Tue,2013-03-05,,Dortmund,3–0,uaShakhtar,,BVB Stadion Dortmund,Damir Skomina,Match Report,Leg 2 of 2; Dortmund won
2012-2013,Round of 16,Wed,2013-03-06,,Juventus,2–0,sctCeltic,,Juventus Stadium,Fırat Aydınus,Match Report,Leg 2 of 2; Juventus won
2012-2013,Round of 16,Wed,2013-03-06,,Paris S-G,1–1,Valencia,,Parc des Princes,Milorad Mažić,Match Report,Leg 2 of 2; Paris S-G won
2012-2013,Round of 16,Tue,2013-03-12,,Schalke 04,2–3,trGalatasaray,,Arena AufSchalke,Jonas Eriksson,Match Report,Leg 2 of 2; Galatasaray won
2012-2013,Round of 16,Tue,2013-03-12,,Barcelona,4–0,Milan,,Camp Nou,Viktor Kassai,Match Report,Leg 2 of 2; Barcelona won
2012-2013,Round of 16,Wed,2013-03-13,,Málaga,2–0,Porto,,La Rosaleda,Nicola Rizzoli,Match Report,Leg 2 of 2; Málaga won
2012-2013,Round of 16,Wed,2013-03-13,,Bayern Munich,0–2,Arsenal,,Fußball Arena München,Pavel Královec,Match Report,Leg 2 of 2; Bayern Munich won
2012-2013,Quarter-finals,Tue,2013-04-02,,Bayern Munich,2–0,Juventus,,Fußball Arena München,Mark Clattenburg,Match Report,Leg 1 of 2
2012-2013,Quarter-finals,Tue,2013-04-02,,Paris S-G,2–2,Barcelona,,Parc des Princes,Wolfgang Stark,Match Report,Leg 1 of 2
2012-2013,Quarter-finals,Wed,2013-04-03,,Real Madrid,3–0,trGalatasaray,,Estadio Santiago Bernabéu,Svein Oddvar Moen,Match Report,Leg 1 of 2
2012-2013,Quarter-finals,Wed,2013-04-03,,Málaga,0–0,Dortmund,,La Rosaleda,Jonas Eriksson,Match Report,Leg 1 of 2
2012-2013,Quarter-finals,Tue,2013-04-09,,Galatasaraytr,3–2,Real Madrid,,Ali Sami Yen Spor Kompleksi,Stéphane Lannoy,Match Report,Leg 2 of 2; Real Madrid won
2012-2013,Quarter-finals,Tue,2013-04-09,,Dortmund,3–2,Málaga,,BVB Stadion Dortmund,Craig Thomson,Match Report,Leg 2 of 2; Dortmund won
2012-2013,Quarter-finals,Wed,2013-04-10,,Juventus,0–2,Bayern Munich,,Juventus Stadium,Velasco Carballo,Match Report,Leg 2 of 2; Bayern Munich won
2012-2013,Quarter-finals,Wed,2013-04-10,,Barcelona,1–1,Paris S-G,,Camp Nou,Björn Kuipers,Match Report,Leg 2 of 2; Barcelona won
2012-2013,Semi-finals,Tue,2013-04-23,,Bayern Munich,4–0,Barcelona,,Fußball Arena München,Viktor Kassai,Match Report,Leg 1 of 2
2012-2013,Semi-finals,Wed,2013-04-24,,Dortmund,4–1,Real Madrid,,BVB Stadion Dortmund,Björn Kuipers,Match Report,Leg 1 of 2
2012-2013,Semi-finals,Tue,2013-04-30,,Real Madrid,2–0,Dortmund,,Estadio Santiago Bernabéu,Howard Webb,Match Report,Leg 2 of 2; Dortmund won
2012-2013,Semi-finals,Wed,2013-05-01,,Barcelona,0–3,Bayern Munich,,Camp Nou,Damir Skomina,Match Report,Leg 2 of 2; Bayern Munich won
2012-2013,Final,Sat,2013-05-25,,Dortmund,1–2,Bayern Munich,,Wembley Stadium (Neutral Site),Nicola Rizzoli,Match Report,
2013-2014,Round of 16,Tue,2014-02-18,,Manchester City,0–2,Barcelona,,City of Manchester Stadium,Jonas Eriksson,Match Report,Leg 1 of 2
2013-2014,Round of 16,Tue,2014-02-18,,Leverkusen,0–4,Paris S-G,,BayArena,Viktor Kassai,Match Report,Leg 1 of 2
2013-2014,Round of 16,Wed,2014-02-19,,Milan,0–1,Atlético Madrid,,Stadio Giuseppe Meazza,Pedro Proença,Match Report,Leg 1 of 2
2013-2014,Round of 16,Wed,2014-02-19,,Arsenal,0–2,Bayern Munich,,Arsenal Stadium,Nicola Rizzoli,Match Report,Leg 1 of 2
2013-2014,Round of 16,Tue,2014-02-25,,Zenit,2–4,Dortmund,,Stadion Petrovski,William Collum,Match Report,Leg 1 of 2
2013-2014,Round of 16,Tue,2014-02-25,,Olympiacosgr,2–0,Manchester Utd,,Stadio Georgios Karaiskakis,Gianluca Rocchi,Match Report,Leg 1 of 2
2013-2014,Round of 16,Wed,2014-02-26,,Schalke 04,1–6,Real Madrid,,Arena AufSchalke,Howard Webb,Match Report,Leg 1 of 2
2013-2014,Round of 16,Wed,2014-02-26,,Galatasaraytr,1–1,Chelsea,,Ali Sami Yen Spor Kompleksi,Velasco Carballo,Match Report,Leg 1 of 2
2013-2014,Round of 16,Tue,2014-03-11,,Atlético Madrid,4–1,Milan,,Estadio Vicente Calderón,Mark Clattenburg,Match Report,Leg 2 of 2; Atlético Madrid won
2013-2014,Round of 16,Tue,2014-03-11,,Bayern Munich,1–1,Arsenal,,Fußball Arena München,Svein Oddvar Moen,Match Report,Leg 2 of 2; Bayern Munich won
2013-2014,Round of 16,Wed,2014-03-12,,Barcelona,2–1,Manchester City,,Camp Nou,Stéphane Lannoy,Match Report,Leg 2 of 2; Barcelona won
2013-2014,Round of 16,Wed,2014-03-12,,Paris S-G,2–1,Leverkusen,,Parc des Princes,Ivan Bebek,Match Report,Leg 2 of 2; Paris S-G won
2013-2014,Round of 16,Tue,2014-03-18,,Real Madrid,3–1,Schalke 04,,Estadio Santiago Bernabéu,Sergei Karasev,Match Report,Leg 2 of 2; Real Madrid won
2013-2014,Round of 16,Tue,2014-03-18,,Chelsea,2–0,trGalatasaray,,Stamford Bridge,Felix Brych,Match Report,Leg 2 of 2; Chelsea won
2013-2014,Round of 16,Wed,2014-03-19,,Manchester Utd,3–0,grOlympiacos,,Old Trafford,Björn Kuipers,Match Report,Leg 2 of 2; Manchester Utd won
2013-2014,Round of 16,Wed,2014-03-19,,Dortmund,1–2,Zen,,BVB Stadion Dortmund,Undiano Mallenco,Match Report,Leg 2 of 2; Dortmund won
2013-2014,Quarter-finals,Tue,2014-04-01,,Manchester Utd,1–1,Bayern Munich,,Old Trafford,Velasco Carballo,Match Report,Leg 1 of 2
2013-2014,Quarter-finals,Tue,2014-04-01,,Barcelona,1–1,Atlético Madrid,,Camp Nou,Felix Brych,Match Report,Leg 1 of 2
2013-2014,Quarter-finals,Wed,2014-04-02,,Paris S-G,3–1,Chelsea,,Parc des Princes,Milorad Mažić,Match Report,Leg 1 of 2
2013-2014,Quarter-finals,Wed,2014-04-02,,Real Madrid,3–0,Dortmund,,Estadio Santiago Bernabéu,Mark Clattenburg,Match Report,Leg 1 of 2
2013-2014,Quarter-finals,Tue,2014-04-08,,Dortmund,2–0,Real Madrid,,BVB Stadion Dortmund,Damir Skomina,Match Report,Leg 2 of 2; Real Madrid won
2013-2014,Quarter-finals,Tue,2014-04-08,,Chelsea,2–0,Paris S-G,,Stamford Bridge,Pedro Proença,Match Report,Leg 2 of 2; Chelsea won
2013-2014,Quarter-finals,Wed,2014-04-09,,Bayern Munich,3–1,Manchester Utd,,Fußball Arena München,Jonas Eriksson,Match Report,Leg 2 of 2; Bayern Munich won
2013-2014,Quarter-finals,Wed,2014-04-09,,Atlético Madrid,1–0,Barcelona,,Estadio Vicente Calderón,Howard Webb,Match Report,Leg 2 of 2; Atlético Madrid won
2013-2014,Semi-finals,Tue,2014-04-22,,Atlético Madrid,0–0,Chelsea,,Estadio Vicente Calderón,Jonas Eriksson,Match Report,Leg 1 of 2
2013-2014,Semi-finals,Wed,2014-04-23,,Real Madrid,1–0,Bayern Munich,,Estadio Santiago Bernabéu,Howard Webb,Match Report,Leg 1 of 2
2013-2014,Semi-finals,Tue,2014-04-29,,Bayern Munich,0–4,Real Madrid,,Fußball Arena München,Pedro Proença,Match Report,Leg 2 of 2; Real Madrid won
2013-2014,Semi-finals,Wed,2014-04-30,,Chelsea,1–3,Atlético Madrid,,Stamford Bridge,Nicola Rizzoli,Match Report,Leg 2 of 2; Atlético Madrid won
2013-2014,Final,Sat,2014-05-24,,Real Madrid,4–1,Atlético Madrid,,Estádio do Sport Lisboa e Benfica (Neutral Site),Björn Kuipers,Match Report,Required Extra Time
2014-2015,Round of 16,Tue,2015-02-17,20:45,Paris S-G,1–1,Chelsea,"45,713",Parc des Princes,Cüneyt Çakιr,Match Report,Leg 1 of 2
2014-2015,Round of 16,Tue,2015-02-17,21:45,Shakhtarua,0–0,Bayern Munich,"34,915",L'viv Arena,Alberto Undiano,Match Report,Leg 1 of 2
2014-2015,Round of 16,Wed,2015-02-18,20:45,Baselch,1–1,Porto,"34,464",St. Jakob-Park,Mark Clattenburg,Match Report,Leg 1 of 2
2014-2015,Round of 16,Wed,2015-02-18,20:45,Schalke 04,0–2,Real Madrid,"54,400",Veltins-Arena,Martin Atkinson,Match Report,Leg 1 of 2
2014-2015,Round of 16,Tue,2015-02-24,19:45,Manchester City,1–2,Barcelona,"45,550",Etihad Stadium,Felix Brych,Match Report,Leg 1 of 2
2014-2015,Round of 16,Tue,2015-02-24,20:45,Juventus,2–1,Dortmund,"41,182",Allianz Stadium,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
2014-2015,Round of 16,Wed,2015-02-25,19:45,Arsenal,1–3,Monaco,"59,868",Emirates Stadium,Deniz Aytekin,Match Report,Leg 1 of 2
2014-2015,Round of 16,Wed,2015-02-25,20:45,Leverkusen,1–0,Atlético Madrid,"26,230",BayArena,Pavel Královec,Match Report,Leg 1 of 2
2014-2015,Round of 16,Tue,2015-03-10,19:45,Porto,4–0,chBasel,"43,108",Estádio Do Dragão,Jonas Eriksson,Match Report,Leg 2 of 2; Porto won
2014-2015,Round of 16,Tue,2015-03-10,20:45,Real Madrid,3–4,Schalke 04,"69,986",Estadio Santiago Bernabéu,Damir Skomina,Match Report,Leg 2 of 2; Real Madrid won
2014-2015,Round of 16,Wed,2015-03-11,19:45,Chelsea,2–2,Paris S-G,"37,692",Stamford Bridge,Björn Kuipers,Match Report,Leg 2 of 2; Paris S-G won; Required Extra Time
2014-2015,Round of 16,Wed,2015-03-11,20:45,Bayern Munich,7–0,uaShakhtar,"70,000",Allianz Arena,William Collum,Match Report,Leg 2 of 2; Bayern Munich won
2014-2015,Round of 16,Tue,2015-03-17,20:45,Monaco,0–2,Arsenal,17,Stade Louis II.,Svein Oddvar Moen,Match Report,Leg 2 of 2; Monaco won
2014-2015,Round of 16,Tue,2015-03-17,20:45,Atlético Madrid,(3)1–0(2),Leverkusen,"48,273",Estadio Vicente Calderón,Nicola Rizzoli,Match Report,Leg 2 of 2; Atlético Madrid won; Atlético Madrid won on penalty kicks following extra time
2014-2015,Round of 16,Wed,2015-03-18,20:45,Dortmund,0–3,Juventus,"65,851",Signal Iduna Park,Milorad Mažić,Match Report,Leg 2 of 2; Juventus won
2014-2015,Round of 16,Wed,2015-03-18,20:45,Barcelona,1–0,Manchester City,"92,551",Camp Nou,Gianluca Rocchi,Match Report,Leg 2 of 2; Barcelona won
2014-2015,Quarter-finals,Tue,2015-04-14,20:45,Juventus,1–0,Monaco,"40,801",Allianz Stadium,Pavel Královec,Match Report,Leg 1 of 2
2014-2015,Quarter-finals,Tue,2015-04-14,20:45,Atlético Madrid,0–0,Real Madrid,"52,553",Estadio Vicente Calderón,Milorad Mažić,Match Report,Leg 1 of 2
2014-2015,Quarter-finals,Wed,2015-04-15,19:45,Porto,3–1,Bayern Munich,"50,092",Estádio Do Dragão,Carlos Velasco,Match Report,Leg 1 of 2
2014-2015,Quarter-finals,Wed,2015-04-15,20:45,Paris S-G,1–3,Barcelona,"45,893",Parc des Princes,Mark Clattenburg,Match Report,Leg 1 of 2
2014-2015,Quarter-finals,Tue,2015-04-21,20:45,Barcelona,2–0,Paris S-G,"84,477",Camp Nou,Svein Oddvar Moen,Match Report,Leg 2 of 2; Barcelona won
2014-2015,Quarter-finals,Tue,2015-04-21,20:45,Bayern Munich,6–1,Porto,"70,000",Allianz Arena,Martin Atkinson,Match Report,Leg 2 of 2; Bayern Munich won
2014-2015,Quarter-finals,Wed,2015-04-22,20:45,Monaco,0–0,Juventus,"17,000",Stade Louis II.,William Collum,Match Report,Leg 2 of 2; Juventus won
2014-2015,Quarter-finals,Wed,2015-04-22,20:45,Real Madrid,1–0,Atlético Madrid,"80,000",Estadio Santiago Bernabéu,Felix Brych,Match Report,Leg 2 of 2; Real Madrid won
2014-2015,Semi-finals,Tue,2015-05-05,20:45,Juventus,2–1,Real Madrid,"41,011",Allianz Stadium,Martin Atkinson,Match Report,Leg 1 of 2
2014-2015,Semi-finals,Wed,2015-05-06,20:45,Barcelona,3–0,Bayern Munich,"95,639",Camp Nou,Nicola Rizzoli,Match Report,Leg 1 of 2
2014-2015,Semi-finals,Tue,2015-05-12,20:45,Bayern Munich,3–2,Barcelona,"70,000",Allianz Arena,Mark Clattenburg,Match Report,Leg 2 of 2; Barcelona won
2014-2015,Semi-finals,Wed,2015-05-13,20:45,Real Madrid,1–1,Juventus,"78,153",Estadio Santiago Bernabéu,Jonas Eriksson,Match Report,Leg 2 of 2; Juventus won
2014-2015,Final,Sat,2015-06-06,20:45,Juventus,1–3,Barcelona,"70,442",Olympiastadion Berlin (Neutral Site),Cüneyt Çakιr,Match Report,
2015-2016,Round of 16,Tue,2016-02-16,19:45,Benfica,1–0,Zen,"48,615",Estádio do Sport Lisboa e Benfica,Gianluca Rocchi,Match Report,Leg 1 of 2
2015-2016,Round of 16,Tue,2016-02-16,20:45,Paris S-G,2–1,Chelsea,"46,505",Parc des Princes,Carlos Velasco,Match Report,Leg 1 of 2
2015-2016,Round of 16,Wed,2016-02-17,20:45,Roma,0–2,Real Madrid,"55,612",Stadio Olimpico,Pavel Královec,Match Report,Leg 1 of 2
2015-2016,Round of 16,Wed,2016-02-17,20:45,Gentbe,2–3,Wolfsburg,"19,978",GHELAMCO-arena,Svein Oddvar Moen,Match Report,Leg 1 of 2
2015-2016,Round of 16,Tue,2016-02-23,19:45,Arsenal,0–2,Barcelona,"59,889",Emirates Stadium,Cüneyt Çakιr,Match Report,Leg 1 of 2
2015-2016,Round of 16,Tue,2016-02-23,20:45,Juventus,2–2,Bayern Munich,"41,332",Allianz Stadium,Martin Atkinson,Match Report,Leg 1 of 2
2015-2016,Round of 16,Wed,2016-02-24,20:45,PSV Eindhovennl,0–0,Atlético Madrid,"34,948",Philips Stadion,Daniele Orsato,Match Report,Leg 1 of 2
2015-2016,Round of 16,Wed,2016-02-24,21:45,Dynamo Kyivua,1–3,Manchester City,"53,691",NSK Olimpijs'kyj,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
2015-2016,Round of 16,Tue,2016-03-08,20:45,Wolfsburg,1–0,beGent,"23,475",Volkswagen Arena,Damir Skomina,Match Report,Leg 2 of 2; Wolfsburg won
2015-2016,Round of 16,Tue,2016-03-08,20:45,Real Madrid,2–0,Roma,"76,654",Estadio Santiago Bernabéu,Szymon Marciniak,Match Report,Leg 2 of 2; Real Madrid won
2015-2016,Round of 16,Wed,2016-03-09,19:45,Chelsea,1–2,Paris S-G,"37,591",Stamford Bridge,Felix Brych,Match Report,Leg 2 of 2; Paris S-G won
2015-2016,Round of 16,Wed,2016-03-09,20:00,Zenit,1–2,Benfica,"17,688",Stadion Petrovskij,Viktor Kassai,Match Report,Leg 2 of 2; Benfica won
2015-2016,Round of 16,Tue,2016-03-15,19:45,Manchester City,0–0,uaDynamo Kyiv,"43,630",Etihad Stadium,Ovidiu Hațegan,Match Report,Leg 2 of 2; Manchester City won
2015-2016,Round of 16,Tue,2016-03-15,20:45,Atlético Madrid,(8)0–0(7),nlPSV Eindhoven,"50,135",Estadio Vicente Calderón,Mark Clattenburg,Match Report,Leg 2 of 2; Atlético Madrid won; Atlético Madrid won on penalty kicks following extra time
2015-2016,Round of 16,Wed,2016-03-16,20:45,Barcelona,3–1,Arsenal,"76,092",Camp Nou,Sergey Karasev,Match Report,Leg 2 of 2; Barcelona won
2015-2016,Round of 16,Wed,2016-03-16,20:45,Bayern Munich,4–2,Juventus,"70,000",Allianz Arena,Jonas Eriksson,Match Report,Leg 2 of 2; Bayern Munich won; Required Extra Time
2015-2016,Quarter-finals,Tue,2016-04-05,20:45,Bayern Munich,1–0,Benfica,"70,000",Allianz Arena,Szymon Marciniak,Match Report,Leg 1 of 2
2015-2016,Quarter-finals,Tue,2016-04-05,20:45,Barcelona,2–1,Atlético Madrid,"88,534",Camp Nou,Felix Brych,Match Report,Leg 1 of 2
