Season,Round,Day,Date,Home,Score,Away,Venue,Referee
2021-2022,Quarter-finals,Wed,2022-04-13,Atlético Madrid,0-0,Manchester City,Estadio Wanda Metropolitano,Daniel Siebert
2021-2022,Semi-finals,Tue,2022-04-26,Manchester City,4-3,Real Madrid,Etihad Stadium,István Kovács
2021-2022,Semi-finals,Wed,2022-04-27,Liverpool,2-0,Villarreal,Anfield,Szymon Marciniak
2021-2022,Semi-finals,Tue,2022-05-03,Villarreal,2-3,Liverpool,Estadio de la Cerámica,Danny Makkelie
2021-2022,Semi-finals,Wed,2022-05-04,Real Madrid,3-1,Manchester City,Estadio Santiago Bernabéu,Daniele Orsato
2021-2022,Final,Sat,2022-05-28,Liverpool,0-1,Real Madrid,Stade de France (Neutral Site),Clément Turpin
2020-2021,Round of 16,Tue,2021-02-16,RB Leipzig,0-2,Liverpool,Puskás Aréna (Neutral Site),Slavko Vinčič
2020-2021,Round of 16,Tue,2021-02-16,Barcelona,1-4,Paris S-G,Camp Nou,Björn Kuipers
2020-2021,Round of 16,Wed,2021-02-17,Porto,2-1,Juventus,Estádio Do Dragão,Carlos del Cerro
2020-2021,Round of 16,Wed,2021-02-17,Sevilla,2-3,Dortmund,Estadio Ramón Sánchez Pizjuán,Danny Makkelie
2020-2021,Round of 16,Tue,2021-02-23,Lazio,1-4,Bayern Munich,Stadio Olimpico,Orel Grinfeeld
2020-2021,Round of 16,Tue,2021-02-23,Atlético Madrid,0-1,Chelsea,Arena Naţională (Neutral Site),Felix Brych
2020-2021,Round of 16,Wed,2021-02-24,M'Gladbach,0-2,Manchester City,Puskás Aréna (Neutral Site),Artur Soares Dias
2020-2021,Round of 16,Wed,2021-02-24,Atalanta,0-1,Real Madrid,Stadio Atleti Azzurri d'Italia,Tobias Stieler
2020-2021,Round of 16,Tue,2021-03-09,Dortmund,2-2,Sevilla,Fußballpark BVB Hohenbuschei,Cüneyt Çakιr
2020-2021,Round of 16,Tue,2021-03-09,Juventus,3-2,Porto,Allianz Stadium,Björn Kuipers
2020-2021,Round of 16,Wed,2021-03-10,Liverpool,2-0,RB Leipzig,Puskás Aréna (Neutral Site),Clément Turpin
2020-2021,Round of 16,Wed,2021-03-10,Paris S-G,1-1,Barcelona,Parc des Princes,Anthony Taylor
2020-2021,Round of 16,Tue,2021-03-16,Manchester City,2-0,M'Gladbach,Puskás Aréna (Neutral Site),Sergey Karasev
2020-2021,Round of 16,Tue,2021-03-16,Real Madrid,3-1,Atalanta,Estadio Alfredo Di Stéfano,Danny Makkelie
2020-2021,Round of 16,Wed,2021-03-17,Chelsea,2-0,Atlético Madrid,Stamford Bridge,Daniele Orsato
2020-2021,Round of 16,Wed,2021-03-17,Bayern Munich,2-1,Lazio,Allianz Arena,István Kovács
2020-2021,Quarter-finals,Tue,2021-04-06,Manchester City,2-1,Dortmund,Etihad Stadium,Ovidiu Hațegan
2020-2021,Quarter-finals,Tue,2021-04-06,Real Madrid,3-1,Liverpool,Estadio Alfredo Di Stéfano,Felix Brych
2020-2021,Quarter-finals,Wed,2021-04-07,Porto,0-2,Chelsea,Estadio Ramón Sánchez Pizjuán (Neutral Site),Slavko Vinčič
2020-2021,Quarter-finals,Wed,2021-04-07,Bayern Munich,2-3,Paris S-G,Allianz Arena,Antonio Matéu Lahoz
2020-2021,Quarter-finals,Tue,2021-04-13,Chelsea,0-1,Porto,Estadio Ramón Sánchez Pizjuán (Neutral Site),Clément Turpin
2020-2021,Quarter-finals,Tue,2021-04-13,Paris S-G,0-1,Bayern Munich,Parc des Princes,Daniele Orsato
2020-2021,Quarter-finals,Wed,2021-04-14,Liverpool,0-0,Real Madrid,Anfield,Björn Kuipers
2020-2021,Quarter-finals,Wed,2021-04-14,Dortmund,1-2,Manchester City,Signal Iduna Park,Carlos del Cerro
2020-2021,Semi-finals,Tue,2021-04-27,Real Madrid,1-1,Chelsea,Estadio Alfredo Di Stéfano,Danny Makkelie
2020-2021,Semi-finals,Wed,2021-04-28,Paris S-G,1-2,Manchester City,Parc des Princes,Felix Brych
2020-2021,Semi-finals,Tue,2021-05-04,Manchester City,2-0,Paris S-G,Etihad Stadium,Björn Kuipers
2020-2021,Semi-finals,Wed,2021-05-05,Chelsea,2-0,Real Madrid,Stamford Bridge,Daniele Orsato
2020-2021,Final,Sat,2021-05-29,Manchester City,0-1,Chelsea,Estádio Do Dragão (Neutral Site),Antonio Matéu Lahoz
2019-2020,Round of 16,Tue,2020-02-18,Atlético Madrid,1-0,Liverpool,Estadio Wanda Metropolitano,Szymon Marciniak
2019-2020,Round of 16,Tue,2020-02-18,Dortmund,2-1,Paris S-G,Signal Iduna Park,Antonio Matéu Lahoz
2019-2020,Round of 16,Wed,2020-02-19,Tottenham,0-1,RB Leipzig,Tottenham Hotspur Stadium,Cüneyt Çakιr
2019-2020,Round of 16,Wed,2020-02-19,Atalanta,4-1,Valencia,Stadio Giuseppe Meazza,Michael Oliver
2019-2020,Round of 16,Tue,2020-02-25,Chelsea,0-3,Bayern Munich,Stamford Bridge,Clément Turpin
2019-2020,Round of 16,Tue,2020-02-25,Napoli,1-1,Barcelona,Stadio San Paolo,Felix Brych
2019-2020,Round of 16,Wed,2020-02-26,Real Madrid,1-2,Manchester City,Estadio Santiago Bernabéu,Daniele Orsato
