Season,Round,Day,Date,Home,Score,Away,Venue,Referee
2015-2016,Semi-finals,Wed,2016-04-27,Atlético Madrid,1-0,Bayern Munich,Estadio Vicente Calderón,Mark Clattenburg
2015-2016,Semi-finals,Tue,2016-05-03,Bayern Munich,2-1,Atlético Madrid,Allianz Arena,Cüneyt Çakιr
2015-2016,Semi-finals,Wed,2016-05-04,Real Madrid,1-0,Manchester City,Estadio Santiago Bernabéu,Damir Skomina
2015-2016,Final,Sat,2016-05-28,Real Madrid,1-1,Atlético Madrid,Stadio Giuseppe Meazza (Neutral Site),Mark Clattenburg
2014-2015,Round of 16,Tue,2015-02-17,Paris S-G,1-1,Chelsea,Parc des Princes,Cüneyt Çakιr
2014-2015,Round of 16,Tue,2015-02-17,Shakhtar,0-0,Bayern Munich,L'viv Arena,Alberto Undiano
2014-2015,Round of 16,Wed,2015-02-18,Basel,1-1,Porto,St. Jakob-Park,Mark Clattenburg
2014-2015,Round of 16,Wed,2015-02-18,Schalke 04,0-2,Real Madrid,Veltins-Arena,Martin Atkinson
2014-2015,Round of 16,Tue,2015-02-24,Manchester City,1-2,Barcelona,Etihad Stadium,Felix Brych
2014-2015,Round of 16,Tue,2015-02-24,Juventus,2-1,Dortmund,Allianz Stadium,Antonio Matéu Lahoz
2014-2015,Round of 16,Wed,2015-02-25,Arsenal,1-3,Monaco,Emirates Stadium,Deniz Aytekin
2014-2015,Round of 16,Wed,2015-02-25,Leverkusen,1-0,Atlético Madrid,BayArena,Pavel Královec
2014-2015,Round of 16,Tue,2015-03-10,Porto,4-0,Basel,Estádio Do Dragão,Jonas Eriksson
2014-2015,Round of 16,Tue,2015-03-10,Real Madrid,3-4,Schalke 04,Estadio Santiago Bernabéu,Damir Skomina
2014-2015,Round of 16,Wed,2015-03-11,Chelsea,2-2,Paris S-G,Stamford Bridge,Björn Kuipers
2014-2015,Round of 16,Wed,2015-03-11,Bayern Munich,7-0,Shakhtar,Allianz Arena,William Collum
2014-2015,Round of 16,Tue,2015-03-17,Monaco,0-2,Arsenal,Stade Louis II.,Svein Oddvar Moen
2014-2015,Round of 16,Tue,2015-03-17,Atlético Madrid,1-0,Leverkusen,Estadio Vicente Calderón,Nicola Rizzoli
2014-2015,Round of 16,Wed,2015-03-18,Dortmund,0-3,Juventus,Signal Iduna Park,Milorad Mažić
2014-2015,Round of 16,Wed,2015-03-18,Barcelona,1-0,Manchester City,Camp Nou,Gianluca Rocchi
2014-2015,Quarter-finals,Tue,2015-04-14,Juventus,1-0,Monaco,Allianz Stadium,Pavel Královec
2014-2015,Quarter-finals,Tue,2015-04-14,Atlético Madrid,0-0,Real Madrid,Estadio Vicente Calderón,Milorad Mažić
2014-2015,Quarter-finals,Wed,2015-04-15,Porto,3-1,Bayern Munich,Estádio Do Dragão,Carlos Velasco
2014-2015,Quarter-finals,Wed,2015-04-15,Paris S-G,1-3,Barcelona,Parc des Princes,Mark Clattenburg
2014-2015,Quarter-finals,Tue,2015-04-21,Barcelona,2-0,Paris S-G,Camp Nou,Svein Oddvar Moen
2014-2015,Quarter-finals,Tue,2015-04-21,Bayern Munich,6-1,Porto,Allianz Arena,Martin Atkinson
2014-2015,Quarter-finals,Wed,2015-04-22,Monaco,0-0,Juventus,Stade Louis II.,William Collum
2014-2015,Quarter-finals,Wed,2015-04-22,Real Madrid,1-0,Atlético Madrid,Estadio Santiago Bernabéu,Felix Brych
2014-2015,Semi-finals,Tue,2015-05-05,Juventus,2-1,Real Madrid,Allianz Stadium,Martin Atkinson
2014-2015,Semi-finals,Wed,2015-05-06,Barcelona,3-0,Bayern Munich,Camp Nou,Nicola Rizzoli
2014-2015,Semi-finals,Tue,2015-05-12,Bayern Munich,3-2,Barcelona,Allianz Arena,Mark Clattenburg
2014-2015,Semi-finals,Wed,2015-05-13,Real Madrid,1-1,Juventus,Estadio Santiago Bernabéu,Jonas Eriksson
2014-2015,Final,Sat,2015-06-06,Juventus,1-3,Barcelona,Olympiastadion Berlin (Neutral Site),Cüneyt Çakιr
2013-2014,Round of 16,Tue,2014-02-18,Manchester City,0-2,Barcelona,City of Manchester Stadium,Jonas Eriksson
2013-2014,Round of 16,Tue,2014-02-18,Leverkusen,0-4,Paris S-G,BayArena,Viktor Kassai
2013-2014,Round of 16,Wed,2014-02-19,Milan,0-1,Atlético Madrid,Stadio Giuseppe Meazza,Pedro Proença
2013-2014,Round of 16,Wed,2014-02-19,Arsenal,0-2,Bayern Munich,Arsenal Stadium,Nicola Rizzoli
2013-2014,Round of 16,Tue,2014-02-25,Zenit,2-4,Dortmund,Stadion Petrovski,William Collum
2013-2014,Round of 16,Tue,2014-02-25,Olympiacos,2-0,Manchester Utd,Stadio Georgios Karaiskakis,Gianluca Rocchi
2013-2014,Round of 16,Wed,2014-02-26,Schalke 04,1-6,Real Madrid,Arena AufSchalke,Howard Webb
2013-2014,Round of 16,Wed,2014-02-26,Galatasaray,1-1,Chelsea,Ali Sami Yen Spor Kompleksi,Velasco Carballo
2013-2014,Round of 16,Tue,2014-03-11,Atlético Madrid,4-1,Milan,Estadio Vicente Calderón,Mark Clattenburg
2013-2014,Round of 16,Tue,2014-03-11,Bayern Munich,1-1,Arsenal,Fußball Arena München,Svein Oddvar Moen
2013-2014,Round of 16,Wed,2014-03-12,Barcelona,2-1,Manchester City,Camp Nou,Stéphane Lannoy
2013-2014,Round of 16,Wed,2014-03-12,Paris S-G,2-1,Leverkusen,Parc des Princes,Ivan Bebek
2013-2014,Round of 16,Tue,2014-03-18,Real Madrid,3-1,Schalke 04,Estadio Santiago Bernabéu,Sergei Karasev
2013-2014,Round of 16,Tue,2014-03-18,Chelsea,2-0,Galatasaray,Stamford Bridge,Felix Brych
2013-2014,Round of 16,Wed,2014-03-19,Manchester Utd,3-0,Olympiacos,Old Trafford,Björn Kuipers
2013-2014,Round of 16,Wed,2014-03-19,Dortmund,1-2,Zenit,BVB Stadion Dortmund,Undiano Mallenco
2013-2014,Quarter-finals,Tue,2014-04-01,Manchester Utd,1-1,Bayern Munich,Old Trafford,Velasco Carballo
2013-2014,Quarter-finals,Tue,2014-04-01,Barcelona,1-1,Atlético Madrid,Camp Nou,Felix Brych
2013-2014,Quarter-finals,Wed,2014-04-02,Paris S-G,3-1,Chelsea,Parc des Princes,Milorad Mažić
2013-2014,Quarter-finals,Wed,2014-04-02,Real Madrid,3-0,Dortmund,Estadio Santiago Bernabéu,Mark Clattenburg
2013-2014,Quarter-finals,Tue,2014-04-08,Dortmund,2-0,Real Madrid,BVB Stadion Dortmund,Damir Skomina
2013-2014,Quarter-finals,Tue,2014-04-08,Chelsea,2-0,Paris S-G,Stamford Bridge,Pedro Proença
2013-2014,Quarter-finals,Wed,2014-04-09,Bayern Munich,3-1,Manchester Utd,Fußball Arena München,Jonas Eriksson
2013-2014,Quarter-finals,Wed,2014-04-09,Atlético Madrid,1-0,Barcelona,Estadio Vicente Calderón,Howard Webb
2013-2014,Semi-finals,Tue,2014-04-22,Atlético Madrid,0-0,Chelsea,Estadio Vicente Calderón,Jonas Eriksson
2013-2014,Semi-finals,Wed,2014-04-23,Real Madrid,1-0,Bayern Munich,Estadio Santiago Bernabéu,Howard Webb
2013-2014,Semi-finals,Tue,2014-04-29,Bayern Munich,0-4,Real Madrid,Fußball Arena München,Pedro Proença
2013-2014,Semi-finals,Wed,2014-04-30,Chelsea,1-3,Atlético Madrid,Stamford Bridge,Nicola Rizzoli
2013-2014,Final,Sat,2014-05-24,Real Madrid,4-1,Atlético Madrid,Estádio do Sport Lisboa e Benfica (Neutral Site),Björn Kuipers
2012-2013,Round of 16,Tue,2013-02-12,Valencia,1-2,Paris S-G,Estadi de Mestalla,Paolo Tagliavento
2012-2013,Round of 16,Tue,2013-02-12,Celtic,0-3,Juventus,Celtic Park,Undiano Mallenco
2012-2013,Round of 16,Wed,2013-02-13,Shakhtar,2-2,Dortmund,Donbass Arena,Howard Webb
2012-2013,Round of 16,Wed,2013-02-13,Real Madrid,1-1,Manchester Utd,Estadio Santiago Bernabéu,Felix Brych
2012-2013,Round of 16,Tue,2013-02-19,Porto,1-0,Málaga,Estádio do Dragão,Mark Clattenburg
2012-2013,Round of 16,Tue,2013-02-19,Arsenal,1-3,Bayern Munich,Arsenal Stadium,Svein Oddvar Moen
2012-2013,Round of 16,Wed,2013-02-20,Galatasaray,1-1,Schalke 04,Ali Sami Yen Spor Kompleksi,William Collum
2012-2013,Round of 16,Wed,2013-02-20,Milan,2-0,Barcelona,Stadio Giuseppe Meazza,Craig Thomson
2012-2013,Round of 16,Tue,2013-03-05,Manchester Utd,1-2,Real Madrid,Old Trafford,Cüneyt Çakır
2012-2013,Round of 16,Tue,2013-03-05,Dortmund,3-0,Shakhtar,BVB Stadion Dortmund,Damir Skomina
2012-2013,Round of 16,Wed,2013-03-06,Juventus,2-0,Celtic,Juventus Stadium,Fırat Aydınus
2012-2013,Round of 16,Wed,2013-03-06,Paris S-G,1-1,Valencia,Parc des Princes,Milorad Mažić
2012-2013,Round of 16,Tue,2013-03-12,Schalke 04,2-3,Galatasaray,Arena AufSchalke,Jonas Eriksson
2012-2013,Round of 16,Tue,2013-03-12,Barcelona,4-0,Milan,Camp Nou,Viktor Kassai
2012-2013,Round of 16,Wed,2013-03-13,Málaga,2-0,Porto,La Rosaleda,Nicola Rizzoli
2012-2013,Round of 16,Wed,2013-03-13,Bayern Munich,0-2,Arsenal,Fußball Arena München,Pavel Královec
2012-2013,Quarter-finals,Tue,2013-04-02,Bayern Munich,2-0,Juventus,Fußball Arena München,Mark Clattenburg
2012-2013,Quarter-finals,Tue,2013-04-02,Paris S-G,2-2,Barcelona,Parc des Princes,Wolfgang Stark
2012-2013,Quarter-finals,Wed,2013-04-03,Real Madrid,3-0,Galatasaray,Estadio Santiago Bernabéu,Svein Oddvar Moen
2012-2013,Quarter-finals,Wed,2013-04-03,Málaga,0-0,Dortmund,La Rosaleda,Jonas Eriksson
2012-2013,Quarter-finals,Tue,2013-04-09,Galatasaray,3-2,Real Madrid,Ali Sami Yen Spor Kompleksi,Stéphane Lannoy
2012-2013,Quarter-finals,Tue,2013-04-09,Dortmund,3-2,Málaga,BVB Stadion Dortmund,Craig Thomson
2012-2013,Quarter-finals,Wed,2013-04-10,Juventus,0-2,Bayern Munich,Juventus Stadium,Velasco Carballo
2012-2013,Quarter-finals,Wed,2013-04-10,Barcelona,1-1,Paris S-G,Camp Nou,Björn Kuipers
2012-2013,Semi-finals,Tue,2013-04-23,Bayern Munich,4-0,Barcelona,Fußball Arena München,Viktor Kassai
2012-2013,Semi-finals,Wed,2013-04-24,Dortmund,4-1,Real Madrid,BVB Stadion Dortmund,Björn Kuipers
2012-2013,Semi-finals,Tue,2013-04-30,Real Madrid,2-0,Dortmund,Estadio Santiago Bernabéu,Howard Webb
2012-2013,Semi-finals,Wed,2013-05-01,Barcelona,0-3,Bayern Munich,Camp Nou,Damir Skomina
2012-2013,Final,Sat,2013-05-25,Dortmund,1-2,Bayern Munich,Wembley Stadium (Neutral Site),Nicola Rizzoli
2011-2012,Round of 16,Tue,2012-02-14,Leverkusen,1-3,Barcelona,BayArena,Craig Thomson
2011-2012,Round of 16,Tue,2012-02-14,Lyon,1-0,APOEL FC,Stade de Gerland,Paolo Tagliavento
2011-2012,Round of 16,Wed,2012-02-15,Zenit,3-2,Benfica,Stadion Petrovski,Jonas Eriksson
2011-2012,Round of 16,Wed,2012-02-15,Milan,4-0,Arsenal,Stadio Giuseppe Meazza,Viktor Kassai
2011-2012,Round of 16,Tue,2012-02-21,Napoli,3-1,Chelsea,Stadio San Paolo,Velasco Carballo
2011-2012,Round of 16,Tue,2012-02-21,CSKA Moscow,1-1,Real Madrid,Stadion Luzhniki,Björn Kuipers
2011-2012,Round of 16,Wed,2012-02-22,Marseille,1-0,Inter,Stade Vélodrome,Cüneyt Çakır
2011-2012,Round of 16,Wed,2012-02-22,Basel,1-0,Bayern Munich,St. Jakob,Nicola Rizzoli
2011-2012,Round of 16,Tue,2012-03-06,Benfica,2-0,Zenit,Estádio do Sport Lisboa e Benfica,Howard Webb
2011-2012,Round of 16,Tue,2012-03-06,Arsenal,3-0,Milan,Arsenal Stadium,Damir Skomina
2011-2012,Round of 16,Wed,2012-03-07,APOEL FC,1-0,Lyon,GSP Stadium,Undiano Mallenco
2011-2012,Round of 16,Wed,2012-03-07,Barcelona,7-1,Leverkusen,Camp Nou,Svein Oddvar Moen
2011-2012,Round of 16,Tue,2012-03-13,Bayern Munich,7-0,Basel,Fußball Arena München,Mark Clattenburg
2011-2012,Round of 16,Tue,2012-03-13,Inter,2-1,Marseille,Stadio Giuseppe Meazza,Pedro Proença
2011-2012,Round of 16,Wed,2012-03-14,Real Madrid,4-1,CSKA Moscow,Estadio Santiago Bernabéu,Stéphane Lannoy
2011-2012,Round of 16,Wed,2012-03-14,Chelsea,4-1,Napoli,Stamford Bridge,Felix Brych
2011-2012,Quarter-finals,Tue,2012-03-27,Benfica,0-1,Chelsea,Estádio do Sport Lisboa e Benfica,Paolo Tagliavento
2011-2012,Quarter-finals,Tue,2012-03-27,APOEL FC,0-3,Real Madrid,GSP Stadium,Felix Brych
2011-2012,Quarter-finals,Wed,2012-03-28,Milan,0-0,Barcelona,Stadio Giuseppe Meazza,Jonas Eriksson
2011-2012,Quarter-finals,Wed,2012-03-28,Marseille,0-2,Bayern Munich,Stade Vélodrome,Velasco Carballo
2011-2012,Quarter-finals,Tue,2012-04-03,Bayern Munich,2-0,Marseille,Fußball Arena München,Svein Oddvar Moen
2011-2012,Quarter-finals,Tue,2012-04-03,Barcelona,3-1,Milan,Camp Nou,Björn Kuipers
2011-2012,Quarter-finals,Wed,2012-04-04,Chelsea,2-1,Benfica,Stamford Bridge,Damir Skomina
2011-2012,Quarter-finals,Wed,2012-04-04,Real Madrid,5-2,APOEL FC,Estadio Santiago Bernabéu,Gianluca Rocchi
2011-2012,Semi-finals,Tue,2012-04-17,Bayern Munich,2-1,Real Madrid,Fußball Arena München,Howard Webb
2011-2012,Semi-finals,Wed,2012-04-18,Chelsea,1-0,Barcelona,Stamford Bridge,Felix Brych
2011-2012,Semi-finals,Tue,2012-04-24,Barcelona,2-2,Chelsea,Camp Nou,Cüneyt Çakır
2011-2012,Semi-finals,Wed,2012-04-25,Real Madrid,2-1,Bayern Munich,Estadio Santiago Bernabéu,Viktor Kassai
2011-2012,Final,Sat,2012-05-19,Bayern Munich,1-1,Chelsea,Fußball Arena München (Neutral Site),Pedro Proença
2010-2011,Round of 16,Tue,2011-02-15,Valencia,1-1,Schalke 04,Estadi de Mestalla,Aleksei Nikolaev
2010-2011,Round of 16,Tue,2011-02-15,Milan,0-1,Tottenham,Stadio Giuseppe Meazza,Stéphane Lannoy
2010-2011,Round of 16,Wed,2011-02-16,Arsenal,2-1,Barcelona,Arsenal Stadium,Nicola Rizzoli
2010-2011,Round of 16,Wed,2011-02-16,Roma,2-3,Shakhtar,Stadio Olimpico,Olegário Benquerença
2010-2011,Round of 16,Tue,2011-02-22,Lyon,1-1,Real Madrid,Stade de Gerland,Wolfgang Stark
2010-2011,Round of 16,Tue,2011-02-22,FC Copenhagen,0-2,Chelsea,Telia Parken,Björn Kuipers
2010-2011,Round of 16,Wed,2011-02-23,Inter,0-1,Bayern Munich,Stadio Giuseppe Meazza,Viktor Kassai
2010-2011,Round of 16,Wed,2011-02-23,Marseille,0-0,Manchester Utd,Stade Vélodrome,Felix Brych
2010-2011,Round of 16,Tue,2011-03-08,Barcelona,3-1,Arsenal,Camp Nou,Massimo Busacca
2010-2011,Round of 16,Tue,2011-03-08,Shakhtar,3-0,Roma,Donbass Arena,Howard Webb
2010-2011,Round of 16,Wed,2011-03-09,Tottenham,0-0,Milan,White Hart Lane,Frank de Bleeckere
2010-2011,Round of 16,Wed,2011-03-09,Schalke 04,3-1,Valencia,Arena AufSchalke,Jonas Eriksson
2010-2011,Round of 16,Tue,2011-03-15,Manchester Utd,2-1,Marseille,Old Trafford,Velasco Carballo
2010-2011,Round of 16,Tue,2011-03-15,Bayern Munich,2-3,Inter,Fußball Arena München,Pedro Proença
2010-2011,Round of 16,Wed,2011-03-16,Real Madrid,3-0,Lyon,Estadio Santiago Bernabéu,Damir Skomina
2010-2011,Round of 16,Wed,2011-03-16,Chelsea,0-0,FC Copenhagen,Stamford Bridge,Svein Oddvar Moen
2010-2011,Quarter-finals,Tue,2011-04-05,Real Madrid,4-0,Tottenham,Estadio Santiago Bernabéu,Felix Brych
2010-2011,Quarter-finals,Tue,2011-04-05,Inter,2-5,Schalke 04,Stadio Giuseppe Meazza,Martin Atkinson
2010-2011,Quarter-finals,Wed,2011-04-06,Barcelona,5-1,Shakhtar,Camp Nou,Craig Thomson
2010-2011,Quarter-finals,Wed,2011-04-06,Chelsea,0-1,Manchester Utd,Stamford Bridge,Undiano Mallenco
2010-2011,Quarter-finals,Tue,2011-04-12,Shakhtar,0-1,Barcelona,Donbass Arena,Florian Meyer
2010-2011,Quarter-finals,Tue,2011-04-12,Manchester Utd,2-1,Chelsea,Old Trafford,Olegário Benquerença
2010-2011,Quarter-finals,Wed,2011-04-13,Tottenham,0-1,Real Madrid,White Hart Lane,Nicola Rizzoli
2010-2011,Quarter-finals,Wed,2011-04-13,Schalke 04,2-1,Inter,Arena AufSchalke,Damir Skomina
2010-2011,Semi-finals,Tue,2011-04-26,Schalke 04,0-2,Manchester Utd,Arena AufSchalke,Velasco Carballo
2010-2011,Semi-finals,Wed,2011-04-27,Real Madrid,0-2,Barcelona,Estadio Santiago Bernabéu,Wolfgang Stark
2010-2011,Semi-finals,Tue,2011-05-03,Barcelona,1-1,Real Madrid,Camp Nou,Frank de Bleeckere
2010-2011,Semi-finals,Wed,2011-05-04,Manchester Utd,4-1,Schalke 04,Old Trafford,Pedro Proença
2010-2011,Final,Sat,2011-05-28,Barcelona,3-1,Manchester Utd,Wembley Stadium (Neutral Site),Viktor Kassai
2009-2010,Round of 16,Tue,2010-02-16,Lyon,1-0,Real Madrid,Stade de Gerland,Martin Atkinson
2009-2010,Round of 16,Tue,2010-02-16,Milan,2-3,Manchester Utd,Stadio Giuseppe Meazza,Olegário Benquerença
2009-2010,Round of 16,Wed,2010-02-17,Porto,2-1,Arsenal,Estádio do Dragão,Martin Hansson
2009-2010,Round of 16,Wed,2010-02-17,Bayern Munich,2-1,Fiorentina,Fußball Arena München,Tom Henning Øvrebø
2009-2010,Round of 16,Tue,2010-02-23,Olympiacos,0-1,Bordeaux,Stadio Georgios Karaiskakis,Howard Webb
2009-2010,Round of 16,Tue,2010-02-23,Stuttgart,1-1,Barcelona,VfB Arena,Björn Kuipers
2009-2010,Round of 16,Wed,2010-02-24,CSKA Moscow,1-1,Sevilla,Stadion Luzhniki,Felix Brych
2009-2010,Round of 16,Wed,2010-02-24,Inter,2-1,Chelsea,Stadio Giuseppe Meazza,Mejuto González
2009-2010,Round of 16,Tue,2010-03-09,Fiorentina,3-2,Bayern Munich,Stadio Artemio Franchi,Undiano Mallenco
2009-2010,Round of 16,Tue,2010-03-09,Arsenal,5-0,Porto,Arsenal Stadium,Frank de Bleeckere
2009-2010,Round of 16,Wed,2010-03-10,Real Madrid,1-1,Lyon,Estadio Santiago Bernabéu,Nicola Rizzoli
2009-2010,Round of 16,Wed,2010-03-10,Manchester Utd,4-0,Milan,Old Trafford,Massimo Busacca
2009-2010,Round of 16,Tue,2010-03-16,Chelsea,0-1,Inter,Stamford Bridge,Wolfgang Stark
2009-2010,Round of 16,Tue,2010-03-16,Sevilla,1-2,CSKA Moscow,Estadio Ramón Sánchez Pizjuán,Viktor Kassai
2009-2010,Round of 16,Wed,2010-03-17,Bordeaux,2-1,Olympiacos,Stade Chaban,Olegário Benquerença
2009-2010,Round of 16,Wed,2010-03-17,Barcelona,4-0,Stuttgart,Camp Nou,Alain Hamer
2009-2010,Quarter-finals,Tue,2010-03-30,Bayern Munich,2-1,Manchester Utd,Fußball Arena München,Frank de Bleeckere
2009-2010,Quarter-finals,Tue,2010-03-30,Lyon,3-1,Bordeaux,Stade de Gerland,Felix Brych
2009-2010,Quarter-finals,Wed,2010-03-31,Inter,1-0,CSKA Moscow,Stadio Giuseppe Meazza,Howard Webb
2009-2010,Quarter-finals,Wed,2010-03-31,Arsenal,2-2,Barcelona,Arsenal Stadium,Massimo Busacca
2009-2010,Quarter-finals,Tue,2010-04-06,CSKA Moscow,0-1,Inter,Stadion Luzhniki,Stéphane Lannoy
2009-2010,Quarter-finals,Tue,2010-04-06,Barcelona,4-1,Arsenal,Camp Nou,Wolfgang Stark
2009-2010,Quarter-finals,Wed,2010-04-07,Bordeaux,1-0,Lyon,Stade Chaban,Undiano Mallenco
2009-2010,Quarter-finals,Wed,2010-04-07,Manchester Utd,3-2,Bayern Munich,Old Trafford,Nicola Rizzoli
2009-2010,Semi-finals,Tue,2010-04-20,Inter,3-1,Barcelona,Stadio Giuseppe Meazza,Olegário Benquerença
2009-2010,Semi-finals,Wed,2010-04-21,Bayern Munich,1-0,Lyon,Fußball Arena München,Roberto Rosetti
2009-2010,Semi-finals,Tue,2010-04-27,Lyon,0-3,Bayern Munich,Stade de Gerland,Massimo Busacca
2009-2010,Semi-finals,Wed,2010-04-28,Barcelona,1-0,Inter,Camp Nou,Frank de Bleeckere
2009-2010,Final,Sat,2010-05-22,Bayern Munich,0-2,Inter,Estadio Santiago Bernabéu (Neutral Site),Howard Webb
2008-2009,Round of 16,Tue,2009-02-24,Inter,0-0,Manchester Utd,Stadio Giuseppe Meazza,Medina Cantalejo
2008-2009,Round of 16,Tue,2009-02-24,Arsenal,1-0,Roma,Arsenal Stadium,Claus Bo Larsen
2008-2009,Round of 16,Tue,2009-02-24,Lyon,1-1,Barcelona,Stade de Gerland,Wolfgang Stark
2008-2009,Round of 16,Tue,2009-02-24,Atlético Madrid,2-2,Porto,Estadio Vicente Calderón,Howard Webb
2008-2009,Round of 16,Wed,2009-02-25,Sporting CP,0-5,Bayern Munich,José Alvalade,Bertrand Layec
2008-2009,Round of 16,Wed,2009-02-25,Chelsea,1-0,Juventus,Stamford Bridge,Olegário Benquerença
2008-2009,Round of 16,Wed,2009-02-25,Real Madrid,0-1,Liverpool,Estadio Santiago Bernabéu,Roberto Rosetti
2008-2009,Round of 16,Wed,2009-02-25,Villarreal,1-1,Panathinaikos,Estadio El Madrigal,Konrad Plautz
2008-2009,Round of 16,Tue,2009-03-10,Panathinaikos,1-2,Villarreal,OAKA Spiros Louis,Massimo Busacca
2008-2009,Round of 16,Tue,2009-03-10,Bayern Munich,7-1,Sporting CP,Fußball Arena München,Martin Hansson
2008-2009,Round of 16,Tue,2009-03-10,Juventus,2-2,Chelsea,Stadio Olimpico,Undiano Mallenco
2008-2009,Round of 16,Tue,2009-03-10,Liverpool,4-0,Real Madrid,Anfield,Frank de Bleeckere
2008-2009,Round of 16,Wed,2009-03-11,Roma,1-0,Arsenal,Stadio Olimpico,Mejuto González
2008-2009,Round of 16,Wed,2009-03-11,Manchester Utd,2-0,Inter,Old Trafford,Wolfgang Stark
2008-2009,Round of 16,Wed,2009-03-11,Porto,0-0,Atlético Madrid,Estádio do Dragão,Pieter Vink
2008-2009,Round of 16,Wed,2009-03-11,Barcelona,5-2,Lyon,Camp Nou,Tom Henning Øvrebø
2008-2009,Quarter-finals,Tue,2009-04-07,Villarreal,1-1,Arsenal,Estadio El Madrigal,Tom Henning Øvrebø
2008-2009,Quarter-finals,Tue,2009-04-07,Manchester Utd,2-2,Porto,Old Trafford,Konrad Plautz
2008-2009,Quarter-finals,Wed,2009-04-08,Barcelona,4-0,Bayern Munich,Camp Nou,Howard Webb
2008-2009,Quarter-finals,Wed,2009-04-08,Liverpool,1-3,Chelsea,Anfield,Claus Bo Larsen
2008-2009,Quarter-finals,Tue,2009-04-14,Chelsea,4-4,Liverpool,Stamford Bridge,Medina Cantalejo
2008-2009,Quarter-finals,Tue,2009-04-14,Bayern Munich,1-1,Barcelona,Fußball Arena München,Roberto Rosetti
2008-2009,Quarter-finals,Wed,2009-04-15,Porto,0-1,Manchester Utd,Estádio do Dragão,Massimo Busacca
2008-2009,Quarter-finals,Wed,2009-04-15,Arsenal,3-0,Villarreal,Arsenal Stadium,Wolfgang Stark
2008-2009,Semi-finals,Tue,2009-04-28,Barcelona,0-0,Chelsea,Camp Nou,Wolfgang Stark
2008-2009,Semi-finals,Wed,2009-04-29,Manchester Utd,1-0,Arsenal,Old Trafford,Claus Bo Larsen
2008-2009,Semi-finals,Tue,2009-05-05,Arsenal,1-3,Manchester Utd,Arsenal Stadium,Roberto Rosetti
2008-2009,Semi-finals,Wed,2009-05-06,Chelsea,1-1,Barcelona,Stamford Bridge,Tom Henning Øvrebø
2008-2009,Final,Wed,2009-05-27,Barcelona,2-0,Manchester Utd,Stadio Olimpico (Neutral Site),Massimo Busacca
2007-2008,Round of 16,Tue,2008-02-19,Schalke 04,1-0,Porto,Arena AufSchalke,Laurent Duhamel
2007-2008,Round of 16,Tue,2008-02-19,Liverpool,2-0,Inter,Anfield,Frank de Bleeckere
2007-2008,Round of 16,Tue,2008-02-19,Roma,2-1,Real Madrid,Stadio Olimpico,Herbert Fandel
2007-2008,Round of 16,Tue,2008-02-19,Olympiacos,0-0,Chelsea,Stadio Georgios Karaiskakis,Konrad Plautz
2007-2008,Round of 16,Wed,2008-02-20,Arsenal,0-0,Milan,Arsenal Stadium,Claus Bo Larsen
2007-2008,Round of 16,Wed,2008-02-20,Celtic,2-3,Barcelona,Celtic Park,Peter Fröjdfeldt
2007-2008,Round of 16,Wed,2008-02-20,Fenerbahçe,3-2,Sevilla,Şükrü Saracoğlu,Florian Meyer
2007-2008,Round of 16,Wed,2008-02-20,Lyon,1-1,Manchester Utd,Stade de Gerland,Medina Cantalejo
2007-2008,Round of 16,Tue,2008-03-04,Manchester Utd,1-0,Lyon,Old Trafford,Roberto Rosetti
2007-2008,Round of 16,Tue,2008-03-04,Sevilla,3-2,Fenerbahçe,Estadio Ramón Sánchez Pizjuán,Massimo Busacca
2007-2008,Round of 16,Tue,2008-03-04,Milan,0-2,Arsenal,Stadio Giuseppe Meazza,Konrad Plautz
2007-2008,Round of 16,Tue,2008-03-04,Barcelona,1-0,Celtic,Camp Nou,Pieter Vink
2007-2008,Round of 16,Wed,2008-03-05,Porto,1-0,Schalke 04,Estádio do Dragão,Howard Webb
2007-2008,Round of 16,Wed,2008-03-05,Chelsea,3-0,Olympiacos,Stamford Bridge,Mejuto González
2007-2008,Round of 16,Wed,2008-03-05,Real Madrid,1-2,Roma,Estadio Santiago Bernabéu,Kyros Vassaras
2007-2008,Round of 16,Tue,2008-03-11,Inter,0-1,Liverpool,Stadio Giuseppe Meazza,Tom Henning Øvrebø
2007-2008,Quarter-finals,Tue,2008-04-01,Schalke 04,0-1,Barcelona,Arena AufSchalke,Kyros Vassaras
2007-2008,Quarter-finals,Tue,2008-04-01,Roma,0-2,Manchester Utd,Stadio Olimpico,Frank de Bleeckere
2007-2008,Quarter-finals,Wed,2008-04-02,Arsenal,1-1,Liverpool,Arsenal Stadium,Pieter Vink
2007-2008,Quarter-finals,Wed,2008-04-02,Fenerbahçe,2-1,Chelsea,Şükrü Saracoğlu,Claus Bo Larsen
2007-2008,Quarter-finals,Tue,2008-04-08,Chelsea,2-0,Fenerbahçe,Stamford Bridge,Herbert Fandel
2007-2008,Quarter-finals,Tue,2008-04-08,Liverpool,4-2,Arsenal,Anfield,Peter Fröjdfeldt
2007-2008,Quarter-finals,Wed,2008-04-09,Barcelona,1-0,Schalke 04,Camp Nou,Roberto Rosetti
2007-2008,Quarter-finals,Wed,2008-04-09,Manchester Utd,1-0,Roma,Old Trafford,Tom Henning Øvrebø
